Hyperparameter:	w=0.5;cc=0.5;cs=0.5	Minimum:	-6777.272533869143	Position:	[-294.2110980747014, 40.27044264418885, -323.8572919637263, 433.23967076876505, 60.78522056122559, 421.205451092234, 80.2876622978213, 54.08897008079517, -130.61546166994486, 70.63438294097041, 425.0748641634347, -23.692640281710442, 211.45722552366493, 201.09394186028544, -299.5327606886948, -297.4582051155164, 419.45658652921503, -124.91345924288575, 401.4741662793204, 419.97842481965205, -148.1165846195744, 425.206896533895, -290.8194396773252, -305.57749883030624, -130.5454789491409, 421.15422904616895, 418.4930614758575, 192.80700358666158, -91.07456437990473, -122.02355006161528]
Hyperparameter:	w=0.5;cc=0.5;cs=0.549	Minimum:	-6385.181314665737	Position:	[422.28155094948414, 207.94954270462532, 207.7622260718079, 64.80902862835886, 74.12407146007229, 64.81657057014849, 55.86978490778087, 65.00267242841743, 206.89423206395466, 420.35256760785313, 64.8476847305831, -291.7447607013217, 182.75324811022028, -294.8563752683264, 419.49445480150115, 198.12272908822558, 421.9010506224802, -308.2436680542303, -128.413406073798, 50.53892582104265, 422.6594691859597, 405.6068459345021, 203.2678750163573, 206.94376226359483, -113.82367155942879, 421.70053871987216, -128.55805154882, -320.30560156987883, 216.83385511810928, 237.56212278968465]
Hyperparameter:	w=0.5;cc=0.5;cs=0.598	Minimum:	-5832.93006346116	Position:	[426.23196219400825, 190.48941390920115, 4.302568542346935, 74.81331658397087, 209.51107578041064, -297.7152527372581, -136.9714936650964, -302.966815087523, 418.8926926429811, 70.54753836214472, -110.81326699373648, -205.35653175063558, 196.12173088186657, 69.3137691880971, 209.83510047785768, -121.77960543801449, 420.18651748055214, -300.3907726646712, 212.38349836411692, 431.74868387594347, -128.10851934736047, 420.60624393117104, 435.9540478669627, -302.91036515993187, -292.62845321523713, -20.54228126911726, 237.32006912420255, 51.611842822502645, 66.57571397130572, -305.11691974482693]
Hyperparameter:	w=0.5;cc=0.5;cs=0.647	Minimum:	-5334.500783621502	Position:	[73.42525079181407, -304.2947864079535, -23.624803642640778, 69.36817161853833, -51.05989511912395, 420.5791731125667, 205.8503183143336, 203.46256276243093, -301.06418845344814, 204.08542989449867, 423.25481470908113, 67.52809458976564, -296.80102432655315, 67.49071067911869, -303.4151636021967, 414.97750701440907, 60.48545000902702, 139.4062188792686, 66.71255218505672, 203.94808139791775, -130.417434006654, 421.26583244073754, -45.71746597803591, -299.60759561648064, -23.45852997212944, 207.61915242213536, 420.8879113728978, -126.25356462821988, -128.93270612753386, -121.08044182146774]
Hyperparameter:	w=0.5;cc=0.5;cs=0.696	Minimum:	-6879.145468395614	Position:	[160.82478304205853, -105.47329104619642, -316.5581296683155, 82.7670824122038, 420.56904480399453, 422.4181260439, 427.99801087792156, 420.61016390884726, 224.7512459279868, -148.59794211654187, 141.6252104070032, 423.3263178153454, -312.2759774733485, 416.6744194298227, -114.78695540230733, 421.3400593865079, 420.95407328338075, 408.3048159586963, 73.60360555757782, -309.8749241265916, 419.84273588429744, -312.0125309585381, 18.18214684846233, 54.86056961830968, 224.94851781104342, 419.18245482881036, -313.2197076484851, -300.601841271712, -82.8131818803174, -36.08028889254362]
Hyperparameter:	w=0.5;cc=0.5;cs=0.745	Minimum:	-5463.023664715581	Position:	[-144.36182725505387, -27.90957908086591, 177.07024745551405, 419.6437848134216, 42.224904747485, -309.7835720962862, 422.7015449793012, 196.88436193944682, 81.45844456935818, 71.66984409666263, 53.0218010824166, -298.51639305711797, -113.2971994375464, -287.27790904933056, -319.5661481485867, 202.4754724791405, 419.6970467283395, 422.31524214434165, -311.3263634998921, 178.61688143501695, -26.425767920725576, -40.65740337450968, -109.27835868628773, -307.087040503167, 423.1387288509149, -18.380825692437753, -300.3815762763418, -85.60474877988767, 182.2101833431923, -110.05901818299118]
Hyperparameter:	w=0.5;cc=0.5;cs=0.794	Minimum:	-5619.8529606224665	Position:	[205.05898504998856, 178.23347038907494, -314.50373162240936, -303.7870639835747, 63.655803839119194, -133.13254334177722, 420.95816127598704, 89.50442572711637, 423.9621074955996, 230.58548580118702, 421.1591129362852, 419.73270054034094, 202.15573981847254, 66.0506051316005, 64.96976420180773, -77.61747607562287, -94.26671824887408, -306.2224420166504, 199.51140948574997, -116.80091195903186, -120.16605440569829, -304.4908623366261, -30.90325495105659, 420.089301994064, 421.1899540070627, -110.38508267011609, -141.99312911979337, 203.66620023039832, -138.68579161006795, 70.63182299623529]
Hyperparameter:	w=0.5;cc=0.5;cs=0.843	Minimum:	-6101.658468210756	Position:	[420.02499007665676, -110.1091982718262, 42.313627282439704, -98.56244628142088, -210.2398121232131, -284.25921565958214, -282.1936213855962, -103.46810164154341, 420.9820588764126, -301.02144038272223, -18.313122430114337, 420.9009142136426, -248.08440692324538, 437.82483420588693, 406.81982834448246, 421.022744292158, 421.1802022180454, 420.8909652577296, -318.66925923412595, -136.57938470284472, 69.84905731507072, 64.10977088701054, -155.89764739423367, 421.0208615929428, 3.983850957564065, -107.68660961619214, 209.81819552322204, -332.9005364593498, -120.10508215891718, 421.05736605337444]
Hyperparameter:	w=0.5;cc=0.5;cs=0.892	Minimum:	-6106.209046769419	Position:	[-51.62752549347225, 64.32924007060411, 215.8618711698718, 207.99250901250429, 420.903350897285, -307.0920040287029, -24.896457503411412, 421.0057321861834, -294.25518332357393, -129.29071190471456, 420.201641010761, 201.93476991716676, -48.542674817104015, -292.5274715467586, -296.61658498043016, 420.49333747874977, -104.01876234362571, 199.6502133256298, 215.2443496114942, 421.1570038061454, -148.8477117822745, 156.9185128613584, -320.2513048606284, -306.8500818136038, -118.18286944980028, 196.34241057803362, 68.61970312710238, -147.73803446136773, 420.7963228486909, 207.89239498771653]
Hyperparameter:	w=0.5;cc=0.5;cs=0.9410000000000001	Minimum:	-6784.942467112495	Position:	[420.97683338521426, 414.6837859387448, 43.37309802499617, -300.03388548437454, -141.893822644307, 188.24542998598815, 428.239687805711, -134.69936537937693, -108.18160094623677, -330.2757453445459, 204.14513796559467, -314.2366585044494, -318.22404217178945, -176.62165760292746, 45.843426963954656, -309.7879937053258, -108.16167139786907, 420.95453735061346, -297.93728081360956, -315.98456708849915, -302.45535884266354, -303.440214968498, -293.13673884546046, 201.65666162467926, -285.1119264630523, -7.429278650982386, 209.59311479599612, 420.8229683496578, 420.8021044242847, 180.33675775638193]
